# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.


CCTV-1,http://66.siyba.cn/8INfX$!
CCTV-2,http://66.siyba.cn/9tpLq$!
CCTV-3,http://66.siyba.cn/9tsED$!
CCTV-4,http://66.siyba.cn/ae5a6$!
CCTV-5,http://66.siyba.cn/aYF2F$!
CCTV-5+,http://66.siyba.cn/bJhy8$!
CCTV-6,http://66.siyba.cn/ctTNt$!
CCTV-7,http://66.siyba.cn/dewiW$!
CCTV-8,http://66.siyba.cn/7dyfb$!
CCTV-9,http://66.siyba.cn/7YaKE$!
CCTV-10,http://66.siyba.cn/9tpLA$!
CCTV-11,http://66.siyba.cn/9tsEN$!
CCTV-12,http://66.siyba.cn/ae58E$!
CCTV-13,http://66.siyba.cn/aYF2P$!
CCTV-14,http://66.siyba.cn/ctTND$!
CCTV-15,http://66.siyba.cn/dewj6$!
CCTV-16,http://66.siyba.cn/7dyfl$!
CCTV-17,http://66.siyba.cn/7YaKO$!
湖南卫视,http://66.siyba.cn/9tqG3$!
湖南卫视,http://66.siyba.cn/ae3bw$!
浙江卫视,http://66.siyba.cn/aYFFn$!
北京卫视,http://66.siyba.cn/bJiaQ$!
东方卫视,http://66.siyba.cn/dexbM$!
江苏卫视,http://66.siyba.cn/7dz81$!
广东卫视,http://66.siyba.cn/8IO8X$!
江西卫视,http://66.siyba.cn/9tqGd$!
河南卫视,http://66.siyba.cn/ae3a4$!
陕西卫视,http://66.siyba.cn/aYFFx$!
大湾区卫视,http://66.siyba.cn/bJib0$!
湖北卫视,http://66.siyba.cn/ctUGt$!
吉林卫视,http://66.siyba.cn/dexbW$!
青海卫视,http://66.siyba.cn/7dz8b$!
东南卫视,http://66.siyba.cn/7YbDE$!
海南卫视,http://66.siyba.cn/8IO97$!
海峡卫视,http://66.siyba.cn/9to3i$!
江苏卫视,http://66.siyba.cn/bJifQ$!
内蒙古卫视,http://66.siyba.cn/ctULj$!
兵团卫视,http://66.siyba.cn/dexgM$!
云南卫视,http://66.siyba.cn/7dzd1$!
莲花卫视,http://66.siyba.cn/7Ybsm$!
香港卫视,http://66.siyba.cn/8INXP$!
